"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"117",117,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/20",5.44,0.264479573,1,5.704479573,5.7,NA,NA,NA,0.5425,0.9,0.952864818421362,"acerifolia_9018",0.918453486408914,0.962350160391693
"118",118,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/23",4.71,0.994479573,1,5.704479573,5.7,NA,NA,NA,0.742,0.9,0.671426598589144,"acerifolia_9018",0.795205132534189,0.962350160391693
"119",119,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/25",4.92,0.784479573,1,5.704479573,5.7,NA,NA,NA,0.578258078,0.9,0.719477026365376,"acerifolia_9018",0.830660138443356,0.962350160391693
"120",120,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/27",4.8445,0.859979573,1,5.704479573,5.764,NA,NA,NA,0.6869,0.9,0.702201753522017,"acerifolia_9018",0.817913219652203,0.973155495525916
"121",121,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/30",5.57,0.134479573,1,5.704479573,5.7,NA,NA,NA,0.4877,0.9,0.882848480804566,"acerifolia_9018",0.940401823400304,0.962350160391693
"122",122,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/02",5.51,0.194479573,1,5.704479573,5.71,NA,NA,NA,0.604829039,0.9,0.854475847260505,"acerifolia_9018",0.93027182171197,0.964038494006416
"123",123,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/04",5.3,0.404479573,1,5.704479573,5.71,NA,NA,NA,0.824829039,0.9,0.808713535092665,"acerifolia_9018",0.894816815802803,0.964038494006416
"124",124,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/07",5.44,6.338086351,1,5.485959146,6.33,NA,NA,NA,1.34,0.9,0.890747153587272,"acerifolia_9018",0.918453486408914,1.0687151781192
"125",125,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/09",5.63,0.708086351,1,5.485959146,6.33,NA,NA,NA,1.042,0.9,1.12608451784414,"acerifolia_9018",0.950531825088638,1.0687151781192
"126",126,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/14",4.77,0.934479573,1,5.704479573,5.704479573,NA,NA,NA,1.995,0.9,0.686180270329519,"acerifolia_9018",0.805335134222522,0.963106461759244
"127",127,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"12/16",4.95,0.754479573,1,5.704479573,5.7,NA,NA,NA,0.611979573,0.9,0.727366351280576,"acerifolia_9018",0.835725139287523,0.962350160391693
"128",128,"9018.8","9018","acerifolia","Control",16,6.846,4.05313649,2.54086351,"10/28",5.79,0.547827298,1,6.337827298,NA,NA,NA,NA,0.4204901578,0.8,0.590690331886423,"acerifolia_9018",0.845749342681858,0.845749342681858
"129",129,"9018.8","9018","acerifolia","Control",16,6.846,4.05313649,2.54086351,"10/30",5.77,0.567827298,1,6.337827298,NA,NA,NA,NA,0.4108901578,0.8,0.580457590183583,"acerifolia_9018",0.842827928717499,0.842827928717499
"130",130,"9018.8","9018","acerifolia","Control",16,6.846,4.05313649,2.54086351,"11/02",5.5415,0.796327298,1,6.337827298,6.369,NA,NA,NA,0.4177901578,0.8,0.531556891853668,"acerifolia_9018",0.809450774174701,0.930324276950044
"131",131,"9018.8","9018","acerifolia","Control",16,6.846,4.05313649,2.54086351,"11/04",5.8455,0.492327298,1,6.337827298,6.3355,NA,NA,NA,0.280999999999999,0.8,0.70925238719336,"acerifolia_9018",0.853856266432954,0.925430908559743
"132",132,"9018.8","9018","acerifolia","Control",16,6.846,4.05313649,2.54086351,"11/06",5.7525,0.585327298,1,6.337827298,6.348,NA,NA,NA,0.446999999999999,0.8,0.68435927516626,"acerifolia_9018",0.840271691498685,0.927256792287467
