ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
255189.01.8,Control,279,255189.01,V. riparia,3,2020,12/16/20,,11.3,,,0.401537199,0.501776178,8.58,60.5,,27.0547,6.3807,20.674,0.25,,,,,,,,,,,,,,,,,,,
255189.01.9,Control,280,255189.01,V. riparia,2,2020,12/15/20,7.4,10.9,,,0.244078018,0.454907058,8.28,87.1,,37.6349,6.3807,31.2542,0.26,,,,,,,91,0.7979,0.0088,,,,,,,,,,
588155.01.1,Drought,111,588155.01,palmata,2,2020,12/15/20,7,14.5,,,0.07556474,0.548822715,3.82,18.9,,32.8914,6.3807,26.5107,0.58,,,,,,,,,,,,,,,,,,,
588155.01.10,Control,120,588155.01,palmata,2,2020,12/15/20,6.4,13.4,,,,,5.16,33.5,,20.599,6.3807,14.2183,0.3,,,,,,,,,,,,,,,,,,,
588155.01.2,Drought,112,588155.01,palmata,3,2020,12/16/20,8,11.2,,,,,4.3,8.7,,26.1769,6.3807,19.7962,0.69,,,,,,,,,,,,,,,,,,,
588155.01.3,Drought,113,588155.01,palmata,5,2020,12/18/20,6.5,11.1,,,0.05568742,0.057217624,4.14,7.9,,13.7824,6.3807,7.4017,0.48,,,,,,,,,,,,,,,,,,,
588155.01.4,Drought,114,588155.01,palmata,1,2020,12/11/20,7.5,15.5,,,0.134497095,0.079736762,4.13,9.2,,19.2415,6.3807,12.8608,0.58,,,,,,,,,,,,,,,,,,,
588155.01.5,Drought,115,588155.01,palmata,4,2020,12/17/20,5,8.8,,,0.162779368,0.095735636,5.4,14.3,,26.8945,6.3807,20.5138,0.59,,,,,,,,,,,,,,,,,,,
588155.01.6,Control,116,588155.01,palmata,4,2020,12/17/20,8,9.3,,,0.413899339,0.488209241,4.9,40.9,,23.8776,6.3807,17.4969,0.3,,,,,,,,,,,,,,,,,,,
588155.01.7,Control,117,588155.01,palmata,5,2020,12/18/20,8.9,12.9,,,0.323211827,0.478448507,5.68,43.1,,33.0868,6.3807,26.7061,0.38,,,,,,,,,,,,,,,,,,,
